PhraseID,Sentiment
156061,3
156062,3
156063,2
156064,3
156065,3
156066,3
156067,3
156068,2
156069,3
156070,2
156071,1
156072,3
156073,2
156074,2
156075,2
156076,3
156077,2
156078,3
156079,3
156080,1
156081,2
156082,1
156083,3
156084,2
156085,2
156086,2
156087,2
156088,2
156089,3
156090,2
156091,3
156092,3
156093,4
156094,4
156095,2
156096,4
156097,3
156098,3
156099,2
156100,3
156101,2
156102,3
156103,2
156104,2
156105,2
156106,2
156107,2
156108,3
156109,2
156110,3
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,0
156129,2
156130,0
156131,2
156132,0
156133,2
156134,2
156135,2
156136,0
156137,2
156138,0
156139,0
156140,0
156141,1
156142,1
156143,3
156144,3
156145,2
156146,3
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,4
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,4
156167,2
156168,4
156169,2
156170,2
156171,3
156172,3
156173,2
156174,3
156175,3
156176,3
156177,2
156178,4
156179,2
156180,4
156181,4
156182,2
156183,4
156184,4
156185,3
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,3
156202,2
156203,3
156204,2
156205,3
156206,3
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,2
156216,2
156217,2
156218,2
156219,4
156220,2
156221,4
156222,4
156223,3
156224,3
156225,3
156226,2
156227,2
156228,2
156229,3
156230,2
156231,3
156232,2
156233,3
156234,2
156235,3
156236,4
156237,1
156238,4
156239,2
156240,4
156241,3
156242,3
156243,4
156244,4
156245,3
156246,3
156247,3
156248,3
156249,2
156250,3
156251,3
156252,3
156253,3
156254,3
156255,3
156256,3
156257,3
156258,2
156259,3
156260,2
156261,2
156262,1
156263,1
156264,1
156265,1
156266,2
156267,2
156268,2
156269,2
156270,2
156271,2
156272,3
156273,2
156274,3
156275,3
156276,3
156277,3
156278,2
156279,2
156280,2
156281,2
156282,2
156283,2
156284,2
156285,2
156286,3
156287,4
156288,4
